name,search_keys,lat,lng,pref_code,name_en
東京都庁展望室,"とち,東京都庁 展望室 西新宿 無料 夜景 観光",35.6895,139.6917,tokyo,
,,,,,
ユニバーサルスタジオジャパン,"ゆ,U,u",34.6658885559988,135.4323077676299,osaka,
道頓堀,どう,34.671881895059855,135.50046719085864,osaka,
心斎橋,しんさ,34.672101832821575,135.50030355127154,osaka,
なんば駅,なん,34.668015935175056,135.50019621145412,osaka,
梅田駅,うめ,34.70337514193102,135.49761939591207,osaka,
新大阪駅,しんお,34.73366856548827,135.500147408113,osaka,
大阪城,おおさ,34.687434887968,135.52582914859178,osaka,
通天閣,つう,34.65269471882451,135.50627737714868,osaka,
黒門市場,くろも,34.665502886580036,135.5062191387943,osaka,
京セラドーム大阪,きょう,34.6692804,135.4761427,osaka,
あべのハルカス,あべ,34.6460706,135.5134771,osaka,
天王寺駅,てん,34.6473102,135.513869,osaka,
インテックス大阪,いんて,34.637883,135.4196543,osaka,
大阪城ホール,おおさ,34.6896386,135.5301017,osaka,
グランフロント大阪,,34.7038664,135.4949205,osaka,
海遊館,かい,34.6545,135.4290,osaka,
万博記念公園,ばん,34.8118,135.5303,osaka,
梅田スカイビル,すか,34.7053,135.4906,osaka,
住吉大社,すみ,34.6123,135.4936,osaka,
四天王寺,して,34.6544,135.5165,osaka,
難波八阪神社,なん,34.6614,135.4965,osaka,
アメリカ村,あめ,34.6713,135.4988,osaka,
天神橋筋商店街,てん,34.7073,135.5126,osaka,
スパワールド,すぱ,34.6502,135.5050,osaka,
カップヌードルミュージアム 大阪池田,かつ,34.8183,135.4269,osaka,
箕面の滝,みの,34.8528,135.4727,osaka,
天保山大観覧車,てん,34.6562,135.4310,osaka,
千日前道具屋筋商店街,せん,34.6644,135.5034,osaka,
大阪天満宮,おお,34.6975,135.5120,osaka,
,,,,,
,,,,,
清水寺,きよ,34.9946662,135.784661,kyoto,
祇園,ぎお,35.0037816,135.777245,kyoto,
京都駅,き,34.985849,135.7587667,kyoto,
河原町,かわは,35.5395005,139.6943282,kyoto,
四条烏丸,しじょ,35.003642,135.7599027,kyoto,
伏見稲荷大社,ふし,34.9676945,135.7791876,kyoto,
嵐山,あら,35.1719499,119.3270099,kyoto,
金閣寺,きん,35.03937,135.7292431,kyoto,
錦市場,にし,35.0050258,135.764723,kyoto,
八坂神社,やさ,35.0036559,135.7785534,kyoto,
二条城,にじ,35.0140901,135.7491371,kyoto,
三十三間堂,さん,34.9878845,135.7717126,kyoto,
先斗町,,,,kyoto,
花見小路,,35.0054928,135.7752402,kyoto,
東山,,34.9926102,135.7748632,kyoto,
銀閣寺,ぎん,35.0271,135.7982,kyoto,
龍安寺,りょ,35.0345,135.7182,kyoto,
平等院,びょ,34.8893,135.8077,kyoto,
南禅寺,なん,35.0111,135.7924,kyoto,
平安神宮,へい,35.0160,135.7824,kyoto,
北野天満宮,きた,35.0314,135.7351,kyoto,
東寺,とう,34.9811,135.7476,kyoto,
下鴨神社,しも,35.0392,135.7731,kyoto,
上賀茂神社,かみ,35.0594,135.7523,kyoto,
永観堂,えい,35.0144,135.7954,kyoto,
東福寺,ふく,34.9760,135.7744,kyoto,
京都御所,きょ,35.0251,135.7621,kyoto,
哲学の道,てつ,35.0200,135.7950,kyoto,
貴船神社,きふ,35.1216,135.7629,kyoto,
,,,,,
,,,,,
,,,,,
札幌駅,さ,43.0686606,141.3507552,hokkaido,
すすきの,すす,,,hokkaido,
小樽運河,おた,43.199041,141.0021176,hokkaido,
函館山,はこ,41.7445775,140.7056028,hokkaido,
五稜郭,ご,41.7969245,140.7567838,hokkaido,
富良野,ふら,43.3420458,142.3831624,hokkaido,
美瑛青い池,びえ,43.4934738,142.6142144,hokkaido,
登別温泉,の,42.4924775,141.1430592,hokkaido,
洞爺湖温泉,とう,42.5642705,140.8175504,hokkaido,
新千歳空港,しん,42.7791317,141.6866364,hokkaido,
旭川駅,あさひ,43.7627619,142.3585105,hokkaido,
旭山動物園,あさひ,43.7689713,142.4791319,hokkaido,
ニセコ,にせ,42.8047856,140.6874494,hokkaido,
定山渓温泉,,42.9660653,141.1670505,hokkaido,
函館駅,,41.7737804,140.7264741,hokkaido,
帯広駅・十勝川温泉,,42.9179477,143.2020505,hokkaido,
阿寒湖・摩周湖:,,43.5872284,144.5237617,hokkaido,
釧路駅・フィッシャーマンズワーフ,,42.9817626,144.3833396,hokkaido,
大通公園,おお,43.0604,141.3498,hokkaido,
さっぽろ羊ヶ丘展望台,ひつ,42.9991,141.3944,hokkaido,
函館朝市,あさ,41.7725,140.7262,hokkaido,
ファーム富田,とみ,43.4181,142.4278,hokkaido,
知床五湖,しれ,44.1264,145.0838,hokkaido,
釧路湿原展望台,くし,43.0186,144.3813,hokkaido,
宗谷岬,そう,45.5229,141.9366,hokkaido,
支笏湖,しこ,42.7634,141.3283,hokkaido,
層雲峡,そう,43.7229,142.9472,hokkaido,
神威岬,かむ,43.3311,140.3547,hokkaido,
モエレ沼公園,もえ,43.1235,141.4287,hokkaido,
トラピスチヌ修道院,とら,41.8214,140.8225,hokkaido,
納沙布岬,のさ,43.3837,145.8155,hokkaido,
北竜町ひまわりの里,ひま,43.7317,141.8797,hokkaido,
,,,,,
,,,,,
,,,,,
,,,,,
博多駅,はか,33.5897275,130.4207274,fukuoka,
天神,てん,33.5916163,130.399409,fukuoka,
中洲,なか,33.5929669,130.4064173,fukuoka,
キャナルシティ博多,きゃ,33.5896305,130.4109478,fukuoka,
福岡空港,ふく,33.5849988,130.4490906,fukuoka,
博多港,はか,33.6045556,130.3991417,fukuoka,
PayPayドーム,ぺい,33.5953942,130.3621232,fukuoka,
大濠公園,おおほ,33.5862065,130.3764646,fukuoka,
福岡タワー,ふくお,33.5932846,130.35151,fukuoka,
マリンメッセ福岡,まり,33.6071732,130.4021741,fukuoka,
薬院,やく,33.5799015,130.399409,fukuoka,
赤坂,あかさ,35.6710403,139.7345469,fukuoka,
祇園町（博多）,ぎお,33.5916386,130.4127878,fukuoka,
西中洲,にしな,33.5911241,130.4051431,fukuoka,
海の中道,うみの,33.6704725,130.3750572,fukuoka,
東比恵,ひがし,33.5903295,130.432532,fukuoka,
太宰府,だざ,33.5136238,130.5266668,fukuoka,
小倉・門司港,"こく,もじ",33.9040449,130.9398395,fukuoka,
太宰府天満宮,だざ,33.5215,130.5348,fukuoka,
櫛田神社,くし,33.5930,130.4106,fukuoka,
柳川川下り,やな,33.2650,130.4075,fukuoka,
糸島・桜井二見ヶ浦,いと,33.6441,130.1989,fukuoka,
門司港レトロ,もじ,33.9458,130.9632,fukuoka,
